alpha,fp_zero,fp_upper,fp_lower
0.814536,0.000000,0.793141,-0.793141
0.817043,0.000000,0.796295,-0.796295
0.819549,0.000000,0.799436,-0.799436
0.822055,0.000000,0.802565,-0.802565
0.824561,0.000000,0.805682,-0.805682
0.827068,0.000000,0.808786,-0.808786
0.829574,0.000000,0.811879,-0.811879
0.832080,0.000000,0.814960,-0.814960
0.834586,0.000000,0.818030,-0.818030
0.837093,0.000000,0.821088,-0.821088
0.839599,0.000000,0.824135,-0.824135
0.842105,0.000000,0.827170,-0.827170
0.844612,0.000000,0.830195,-0.830195
0.847118,0.000000,0.833208,-0.833208
0.849624,0.000000,0.836211,-0.836211
0.852130,0.000000,0.839202,-0.839202
0.854637,0.000000,0.842184,-0.842184
0.857143,0.000000,0.845154,-0.845154
0.859649,0.000000,0.848115,-0.848115
0.862155,0.000000,0.851064,-0.851064
0.864662,0.000000,0.854004,-0.854004
0.867168,0.000000,0.856934,-0.856934
0.869674,0.000000,0.859854,-0.859854
0.872180,0.000000,0.862764,-0.862764
0.874687,0.000000,0.865664,-0.865664
0.877193,0.000000,0.868554,-0.868554
0.879699,0.000000,0.871435,-0.871435
0.882206,0.000000,0.874306,-0.874306
0.884712,0.000000,0.877168,-0.877168
0.887218,0.000000,0.880021,-0.880021
0.889724,0.000000,0.882864,-0.882864
0.892231,0.000000,0.885698,-0.885698
0.894737,0.000000,0.888523,-0.888523
0.897243,0.000000,0.891340,-0.891340
0.899749,0.000000,0.894147,-0.894147
0.902256,0.000000,0.896946,-0.896946
0.904762,0.000000,0.899735,-0.899735
0.907268,0.000000,0.902517,-0.902517
0.909774,0.000000,0.905289,-0.905289
0.912281,0.000000,0.908054,-0.908054
0.914787,0.000000,0.910809,-0.910809
0.917293,0.000000,0.913557,-0.913557
0.919799,0.000000,0.916296,-0.916296
0.922306,0.000000,0.919027,-0.919027
0.924812,0.000000,0.921751,-0.921751
0.927318,0.000000,0.924466,-0.924466
0.929825,0.000000,0.927173,-0.927173
0.932331,0.000000,0.929872,-0.929872
0.934837,0.000000,0.932563,-0.932563
0.937343,0.000000,0.935247,-0.935247
0.939850,0.000000,0.937923,-0.937923
0.942356,0.000000,0.940591,-0.940591
0.944862,0.000000,0.943252,-0.943252
0.947368,0.000000,0.945905,-0.945905
0.949875,0.000000,0.948551,-0.948551
0.952381,0.000000,0.951190,-0.951190
0.954887,0.000000,0.953821,-0.953821
0.957393,0.000000,0.956445,-0.956445
0.959900,0.000000,0.959062,-0.959062
0.962406,0.000000,0.961671,-0.961671
0.964912,0.000000,0.964274,-0.964274
0.967419,0.000000,0.966870,-0.966870
0.969925,0.000000,0.969458,-0.969458
0.972431,0.000000,0.972040,-0.972040
0.974937,0.000000,0.974615,-0.974615
0.977444,0.000000,0.977183,-0.977183
0.979950,0.000000,0.979745,-0.979745
0.982456,0.000000,0.982299,-0.982299
0.984962,0.000000,0.984848,-0.984848
0.987469,0.000000,0.987389,-0.987389
0.989975,0.000000,0.989924,-0.989924
0.992481,0.000000,0.992453,-0.992453
0.994987,0.000000,0.994975,-0.994975
0.997494,0.000000,0.997491,-0.997491
1.000000,0.000000,1.000000,-1.000000
